Frame,Sekunde,Aktion,WRIST_Y,SHOULDER_Y,ANKLE_Y,Sichtbarkeit,Fehler
409,16.36,neutral,0.7317910194396973,0.6645106673240662,0.8419367671012878,0.61,False
410,16.4,neutral,0.7371118068695068,0.6628748178482056,0.8440062999725342,0.63,False
411,16.44,neutral,0.7363795638084412,0.6631523966789246,0.8439950942993164,0.62,False
412,16.48,neutral,0.7398412823677063,0.6669356226921082,0.844247579574585,0.63,False
413,16.52,neutral,0.7329037189483643,0.6701972484588623,0.845201313495636,0.58,False
414,16.56,neutral,0.7346818447113037,0.6716023683547974,0.8460186123847961,0.52,False
415,16.6,neutral,0.7295514941215515,0.6710098385810852,0.8448461890220642,0.47,True
416,16.64,neutral,0.6776726841926575,0.6685380339622498,0.8419340252876282,0.43,True
417,16.68,neutral,0.6756634712219238,0.6624405384063721,0.839537501335144,0.39,True
418,16.72,neutral,0.658704400062561,0.6633203029632568,0.8251027464866638,0.39,True
419,16.76,neutral,0.6468569040298462,0.6603673696517944,0.825702965259552,0.4,True
420,16.8,neutral,0.6607924699783325,0.6581976413726807,0.820310652256012,0.41,True
421,16.84,neutral,0.6532226204872131,0.6479076743125916,0.8181418776512146,0.41,True
422,16.88,neutral,0.652642011642456,0.6417856812477112,0.809006929397583,0.43,True
423,16.92,neutral,0.6518396735191345,0.6399967074394226,0.8027018308639526,0.42,True
424,16.96,neutral,0.6494499444961548,0.6404279470443726,0.7922494411468506,0.45,True
425,17.0,neutral,0.6498461961746216,0.6449841856956482,0.7981537580490112,0.49,True
426,17.04,neutral,0.7052866816520691,0.647907018661499,0.799586832523346,0.54,False
427,17.08,neutral,0.6877912878990173,0.6485845446586609,0.7986325621604919,0.58,False
428,17.12,neutral,0.667443037033081,0.6500999927520752,0.7956650257110596,0.62,False
429,17.16,neutral,0.688256561756134,0.6549440622329712,0.7953941822052002,0.65,False
430,17.2,neutral,0.701519250869751,0.6543909907341003,0.7975265383720398,0.66,False
431,17.24,neutral,0.7012172937393188,0.6593683958053589,0.7982856035232544,0.67,False
432,17.28,neutral,0.6578665971755981,0.6534274816513062,0.7929686307907104,0.69,False
433,17.32,neutral,0.6677337884902954,0.6535317301750183,0.795089066028595,0.7,False
434,17.36,neutral,0.6900876760482788,0.6536005735397339,0.7902200222015381,0.72,False
435,17.4,neutral,0.6866409778594971,0.6477290987968445,0.7853503227233887,0.72,False
436,17.44,Angriff,0.6320105791091919,0.6487573385238647,0.7781538367271423,0.75,False
437,17.48,Angriff,0.6108196377754211,0.6503973007202148,0.7805466651916504,0.77,False
438,17.52,Angriff,0.6367390751838684,0.6564064621925354,0.7917465567588806,0.78,False
439,17.56,Angriff,0.6372371315956116,0.6514326930046082,0.7919538021087646,0.8,False
440,17.6,Angriff,0.6403672695159912,0.6513642072677612,0.7865927815437317,0.81,False
441,17.64,Angriff,0.6415696144104004,0.6456146240234375,0.787804126739502,0.82,False
442,17.68,neutral,0.684895396232605,0.6433355808258057,0.7884840965270996,0.84,False
443,17.72,neutral,0.6823060512542725,0.6421018838882446,0.7887322902679443,0.85,False
444,17.76,neutral,0.6830365657806396,0.6438074111938477,0.7889482975006104,0.86,False
445,17.8,neutral,0.6775491237640381,0.6415114402770996,0.7869091629981995,0.86,False
446,17.84,neutral,0.6923545598983765,0.6443321704864502,0.7781026363372803,0.87,False
